[Actions]
SessionID,Experiment,Round,Step,Action,ConflictRegions,TimeTaken(s)
fzm,experiment2,9,76,"Recolored Region 29 to Color 4","9 15 24 25",2.0
fzm,experiment2,9,77,"Recolored Region 9 to Color 4","9 14 15 25 40",8.1
fzm,experiment2,9,78,"Recolored Region 9 to Color 2","9 15 24 25",21.5
fzm,experiment2,9,79,"Recolored Region 24 to Color 4","15 24 25 29",5.4
fzm,experiment2,9,80,"Recolored Region 29 to Color 2","15 25",1.9
fzm,experiment2,9,81,"Recolored Region 7 to Color 4","7 15 25",14.2
fzm,experiment2,9,82,"Recolored Region 15 to Color 2","",3.1
fzm,experiment2,10,83,"Game Started (45 regions, 4 conflicts)","15 22 27 33 40 44",0.0
fzm,experiment2,10,84,"Recolored Region 40 to Color 1","15 27 33 44",11.3
fzm,experiment2,10,85,"Recolored Region 44 to Color 4","15 27 33",5.8
fzm,experiment2,10,86,"Recolored Region 33 to Color 4","15 27 33 44",10.4
fzm,experiment2,10,87,"Recolored Region 44 to Color 1","15 27",6.9
fzm,experiment2,10,88,"Recolored Region 15 to Color 2","15 35",8.0
fzm,experiment2,10,89,"Recolored Region 41 to Color 1","15 28 31 35 41",16.0
fzm,experiment2,10,90,"Recolored Region 31 to Color 4","15 28 35 41",5.8
fzm,experiment2,10,91,"Recolored Region 28 to Color 4","15 20 28 35",9.3
fzm,experiment2,10,92,"Round Reset","15 22 27 33 40 44",3.0
fzm,experiment2,10,93,"Recolored Region 40 to Color 1","15 27 33 44",6.9
fzm,experiment2,10,94,"Recolored Region 15 to Color 2","15 27 33 35 44",25.2
fzm,experiment2,10,95,"Recolored Region 15 to Color 1","15 27 33 44",8.5
fzm,experiment2,10,96,"Recolored Region 36 to Color 4","15 27 33 44",12.1
fzm,experiment2,10,97,"Recolored Region 27 to Color 2","33 44",5.0
fzm,experiment2,10,98,"Recolored Region 44 to Color 4","",10.1
fzm,experiment2,11,99,"Game Started (45 regions, 6 conflicts)","1 9 12 14 28 32 34 35 38 41",0.0
fzm,experiment2,11,100,"Recolored Region 41 to Color 4","1 9 12 14 28 32 34 35 38",9.2
fzm,experiment2,11,101,"Recolored Region 9 to Color 2","1 3 9 12 14 28 32 35 38",26.8
fzm,experiment2,11,102,"Recolored Region 3 to Color 4","1 3 12 14 27 28 32 35 38",5.2
fzm,experiment2,11,103,"Recolored Region 27 to Color 2","1 12 14 28 32 35 38",2.6
fzm,experiment2,11,104,"Recolored Region 12 to Color 2","12 14 28 35 38",21.6
fzm,experiment2,11,105,"Recolored Region 28 to Color 3","14 38",5.5
fzm,experiment2,11,106,"Recolored Region 38 to Color 3","",7.8
fzm,experiment2,12,107,"Game Started (45 regions, 9 conflicts)","4 6 7 14 21 26 27 37 41 45",0.0
fzm,experiment2,12,108,"Recolored Region 6 to Color 3","4 14 21 26 37 41",9.2
fzm,experiment2,12,109,"Recolored Region 37 to Color 2","4 14 21 41",7.6
fzm,experiment2,12,110,"Recolored Region 14 to Color 3","4 14 21 39 41",15.6
fzm,experiment2,12,111,"Recolored Region 39 to Color 1","4 21 41",1.7
fzm,experiment2,12,112,"Recolored Region 41 to Color 2","23 41",6.9
fzm,experiment2,12,113,"Recolored Region 23 to Color 4","",6.0
fzm,experiment2,13,114,"Game Started (45 regions, 8 conflicts)","2 5 11 14 22 24 32 35 37 40",0.0
fzm,experiment2,13,115,"Recolored Region 2 to Color 1","5 11 14 22 32 35 37 40",4.0
fzm,experiment2,13,116,"Recolored Region 37 to Color 4","5 11 14 32 35",8.2
fzm,experiment2,13,117,"Recolored Region 11 to Color 3","14 35",5.4
fzm,experiment2,13,118,"Recolored Region 14 to Color 4","14 20",14.0
fzm,experiment2,13,119,"Recolored Region 20 to Color 2","",3.1
fzm,experiment2,14,120,"Game Started (45 regions, 6 conflicts)","1 8 10 14 20 24 31 32 37 38 45",0.0
fzm,experiment2,14,121,"Recolored Region 20 to Color 2","1 8 10 14 24 31 32 37 38 45",13.2
fzm,experiment2,14,122,"Recolored Region 38 to Color 4","1 8 10 11 14 24 31 37 38 45",7.5
fzm,experiment2,14,123,"Recolored Region 10 to Color 4","1 8 10 11 24 31 37 38 44 45",33.7
fzm,experiment2,14,124,"Recolored Region 10 to Color 1","1 8 11 24 31 37 38 45",2.6
fzm,experiment2,14,125,"Recolored Region 24 to Color 2","1 8 11 16 24 37 38 45",12.6
fzm,experiment2,14,126,"Recolored Region 16 to Color 3","1 8 11 37 38 45",1.9
fzm,experiment2,14,127,"Recolored Region 37 to Color 1","1 11 38 45",5.9
fzm,experiment2,14,128,"Recolored Region 45 to Color 1","11 38",11.9
fzm,experiment2,14,129,"Recolored Region 11 to Color 2","11 26",19.9
fzm,experiment2,14,130,"Recolored Region 29 to Color 2","11 26 29",7.7
fzm,experiment2,14,131,"Recolored Region 26 to Color 1","",3.5
fzm,experiment2,15,132,"Game Started (45 regions, 5 conflicts)","1 4 15 21 22 24 25 28 32 44",0.0
fzm,experiment2,15,133,"Recolored Region 21 to Color 3","1 4 15 22 24 25 28 44",14.5
fzm,experiment2,15,134,"Recolored Region 22 to Color 3","1 4 15 25 28 44",2.0
fzm,experiment2,15,135,"Recolored Region 28 to Color 4","1 4 15 44",3.6
fzm,experiment2,15,136,"Recolored Region 15 to Color 2","1 15 34 44",14.6
fzm,experiment2,15,137,"Recolored Region 15 to Color 3","1 4 15 44",15.6
fzm,experiment2,15,138,"Recolored Region 4 to Color 2","1 3 4 44",10.0
fzm,experiment2,15,139,"Recolored Region 3 to Color 3","1 44",4.0
fzm,experiment2,15,140,"Recolored Region 44 to Color 3","",5.4
fzm,experiment2,16,141,"Game Started (45 regions, 10 conflicts)","1 5 7 9 16 21 26 27 29 30 31 36 41 42",0.0
fzm,experiment2,16,142,"Recolored Region 29 to Color 2","1 5 7 9 16 21 26 27 30 31 36 41",3.8
fzm,experiment2,16,143,"Recolored Region 26 to Color 2","1 9 16 21 26 30 31 34 36 41",8.5
fzm,experiment2,16,144,"Recolored Region 34 to Color 4","1 9 16 21 30 31 36 41",3.5
fzm,experiment2,16,145,"Recolored Region 41 to Color 1","1 9 21 30 31 36",3.4
fzm,experiment2,16,146,"Recolored Region 1 to Color 2","9 21 31",5.6
fzm,experiment2,16,147,"Recolored Region 9 to Color 3","",5.8
fzm,experiment2,17,148,"Game Started (45 regions, 10 conflicts)","4 12 15 18 19 20 24 25 31 32 34 35 37 38",0.0
fzm,experiment2,17,149,"Recolored Region 37 to Color 1","4 12 15 19 20 24 25 31 32 35 38",3.0
fzm,experiment2,17,150,"Recolored Region 38 to Color 4","4 12 15 19 20 25 31 32 35",4.0
fzm,experiment2,17,151,"Recolored Region 32 to Color 2","4 12 15 19 20 25 35",3.1
fzm,experiment2,17,152,"Recolored Region 15 to Color 1","4 12 15 17 19 20 25 35",28.7
fzm,experiment2,17,153,"Recolored Region 17 to Color 4","4 11 12 17 19 20 25 35",7.3
fzm,experiment2,17,154,"Recolored Region 11 to Color 1","4 12 19 20 25 35",2.2
fzm,experiment2,17,155,"Recolored Region 4 to Color 2","4 12 19 20 25 32 35",17.2
fzm,experiment2,17,156,"Recolored Region 32 to Color 1","12 19 20 25 31 32 35",6.0
fzm,experiment2,17,157,"Round Reset","4 12 15 18 19 20 24 25 31 32 34 35 37 38",11.0
fzm,experiment2,17,158,"Recolored Region 37 to Color 1","4 12 15 19 20 24 25 31 32 35 38",3.6
fzm,experiment2,17,159,"Recolored Region 38 to Color 2","4 12 15 19 20 25 31 32 35",2.9
fzm,experiment2,17,160,"Recolored Region 12 to Color 3","4 15 19 20 25 31 32 35",11.7
fzm,experiment2,17,161,"Recolored Region 25 to Color 3","4 15 19 20 31 32 35",3.2
fzm,experiment2,17,162,"Recolored Region 35 to Color 1","4 15 20 31 32",10.5
fzm,experiment2,17,163,"Recolored Region 15 to Color 1","4 15 17 20 31 32",5.5
fzm,experiment2,17,164,"Recolored Region 4 to Color 1","4 15 17 22 31 32 41",6.8
fzm,experiment2,17,165,"Recolored Region 4 to Color 2","15 17 31 32",8.1
fzm,experiment2,17,166,"Recolored Region 17 to Color 4","11 17 31 32",10.4
fzm,experiment2,17,167,"Recolored Region 11 to Color 3","31 32",2.1
fzm,experiment2,17,168,"Recolored Region 31 to Color 3","23 26 31",6.6
fzm,experiment2,17,169,"Recolored Region 31 to Color 2","28 31 36",7.4
fzm,experiment2,17,170,"Recolored Region 31 to Color 3","23 26 31",22.8
fzm,experiment2,17,171,"Recolored Region 26 to Color 1","23 31",8.6
fzm,experiment2,17,172,"Recolored Region 23 to Color 4","3 17 23",8.4
fzm,experiment2,17,173,"Recolored Region 17 to Color 1","3 15 17 23",4.2
fzm,experiment2,17,174,"Recolored Region 17 to Color 4","3 17 23",5.6
fzm,experiment2,17,175,"Recolored Region 23 to Color 3","23 31",2.7
fzm,experiment2,17,176,"Recolored Region 31 to Color 2","28 31 36",12.9
fzm,experiment2,17,177,"Recolored Region 28 to Color 1","15 28 31 36",10.3
fzm,experiment2,17,178,"Recolored Region 15 to Color 2","15 30 31 36",4.8
fzm,experiment2,17,179,"Recolored Region 30 to Color 1","31 36",3.3
fzm,experiment2,17,180,"Recolored Region 36 to Color 3","24 36",19.0
fzm,experiment2,17,181,"Recolored Region 24 to Color 1","2 24 37",9.0
fzm,experiment2,17,182,"Recolored Region 37 to Color 3","2 24",6.0
fzm,experiment2,17,183,"Recolored Region 2 to Color 4","",1.7
fzm,experiment2,18,184,"Game Started (45 regions, 7 conflicts)","1 7 8 18 22 24 29 31 32 39",0.0
fzm,experiment2,18,185,"Recolored Region 39 to Color 4","1 7 8 18 22 24 29 31 32",3.9
fzm,experiment2,18,186,"Recolored Region 32 to Color 1","1 7 8 22 24 29 31 32",3.2
fzm,experiment2,18,187,"Recolored Region 29 to Color 2","1 7 8 22 24 31",5.0
fzm,experiment2,18,188,"Recolored Region 24 to Color 2","1 8 24 30",10.7
fzm,experiment2,18,189,"Recolored Region 45 to Color 3","1 8 24 30",2.3
fzm,experiment2,18,190,"Recolored Region 30 to Color 3","1 8 30 45",0.8
fzm,experiment2,18,191,"Recolored Region 45 to Color 4","1 8",2.2
fzm,experiment2,18,192,"Recolored Region 1 to Color 4","1 39",9.4
fzm,experiment2,18,193,"Recolored Region 39 to Color 2","",5.2
fzm,experiment2,19,194,"Game Started (45 regions, 5 conflicts)","7 11 19 22 24 26 33 41",0.0
fzm,experiment2,19,195,"Recolored Region 19 to Color 4","7 14 19 22 26 33 41",17.6
fzm,experiment2,19,196,"Recolored Region 14 to Color 2","7 22 26 33 41",3.2
fzm,experiment2,19,197,"Recolored Region 33 to Color 1","7 22 26",3.6
fzm,experiment2,19,198,"Recolored Region 22 to Color 1","2 22",8.1
fzm,experiment2,19,199,"Recolored Region 2 to Color 2","",4.0
fzm,experiment2,20,200,"Game Started (45 regions, 4 conflicts)","5 6 10 15 27 38 45",0.0
fzm,experiment2,20,201,"Recolored Region 38 to Color 2","2 6 10 15 27 38 45",8.6
fzm,experiment2,20,202,"Recolored Region 2 to Color 1","2 5 6 10 15 27 45",4.9
fzm,experiment2,20,203,"Round Reset","5 6 10 15 27 38 45",6.7
fzm,experiment2,20,204,"Recolored Region 38 to Color 2","2 6 10 15 27 38 45",6.3
fzm,experiment2,20,205,"Recolored Region 38 to Color 1","5 6 10 15 27 38 45",4.1
fzm,experiment2,20,206,"Recolored Region 5 to Color 2","2 5 6 10 15 27 45",6.1
fzm,experiment2,20,207,"Recolored Region 39 to Color 2","2 5 6 10 15 27 39 45",3.4
fzm,experiment2,20,208,"Recolored Region 2 to Color 3","2 4 6 10 15 27 45",3.4
fzm,experiment2,20,209,"Recolored Region 4 to Color 1","4 6 10 15 27 31 45",3.6
fzm,experiment2,20,210,"Recolored Region 31 to Color 4","6 10 15 21 27 31 34 45",5.8
fzm,experiment2,20,211,"Recolored Region 37 to Color 1","6 10 15 21 27 31 34 45",2.7
fzm,experiment2,20,212,"Recolored Region 34 to Color 1","4 6 10 15 21 27 31 34 37 45",2.1
fzm,experiment2,20,213,"Recolored Region 34 to Color 2","6 10 15 21 27 31 45",1.6
fzm,experiment2,20,214,"Recolored Region 21 to Color 3","6 10 15 27 45",5.4
fzm,experiment2,20,215,"Recolored Region 6 to Color 1","10 15 27",7.9
fzm,experiment2,20,216,"Recolored Region 27 to Color 1","",2.4
fzm,experiment2,21,217,"Game Started (45 regions, 6 conflicts)","5 6 10 15 19 32 34 35 36",0.0
fzm,experiment2,21,218,"Recolored Region 10 to Color 1","5 6 15 19 32 34 35 36",5.8
fzm,experiment2,21,219,"Recolored Region 5 to Color 1","1 5 6 15 32 34 35 36",22.4
fzm,experiment2,21,220,"Recolored Region 1 to Color 4","1 6 15 17 32 34 35 36",3.0
fzm,experiment2,21,221,"Round Reset","5 6 10 15 19 32 34 35 36",3.1
fzm,experiment2,21,222,"Recolored Region 19 to Color 1","6 15 32 34 35 36",14.2
fzm,experiment2,21,223,"Recolored Region 34 to Color 4","6 15 32 35 36",11.6
fzm,experiment2,21,224,"Recolored Region 32 to Color 4","6 26 32 34 35",14.8
fzm,experiment2,21,225,"Recolored Region 26 to Color 2","6 32 34 35",4.1
fzm,experiment2,21,226,"Recolored Region 34 to Color 2","6 35",3.1
fzm,experiment2,21,227,"Recolored Region 35 to Color 4","",5.2
