agent,participant,round,attempt_id,agent_step,attempt_recolor_step,state_before,region,old_color,new_color,source_step,is_final_attempt
human,FlorenceYeoh,3,1,26,8,0 3 0 3 1 0 3 1 2 0 3 1 3 2 3 2 0 1 1 1 0 2 2 2 1 2 2 1 1 3 3 0 1 2 1 0 2 1 0 2 0 2 3 1 2,35,0,1,29,True
human,FlorenceYeoh,3,1,27,9,0 3 0 3 1 0 3 1 2 0 3 1 3 2 3 2 0 1 1 1 0 2 2 2 1 2 2 1 1 3 3 0 1 2 1 1 2 1 0 2 0 2 3 1 2,24,1,3,30,True
human,FlorenceYeoh,3,1,28,10,0 3 0 3 1 0 3 1 2 0 3 1 3 2 3 2 0 1 1 1 0 2 2 2 3 2 2 1 1 3 3 0 1 2 1 1 2 1 0 2 0 2 3 1 2,42,3,0,31,True
human,FlorenceYeoh,3,1,29,11,0 3 0 3 1 0 3 1 2 0 3 1 3 2 3 2 0 1 1 1 0 2 2 2 3 2 2 1 1 3 3 0 1 2 1 1 2 1 0 2 0 2 0 1 2,44,2,0,32,True
human,FlorenceYeoh,3,1,30,12,0 3 0 3 1 0 3 1 2 0 3 1 3 2 3 2 0 1 1 1 0 2 2 2 3 2 2 1 1 3 3 0 1 2 1 1 2 1 0 2 0 2 0 1 0,38,0,1,33,True
human,FlorenceYeoh,3,1,31,13,0 3 0 3 1 0 3 1 2 0 3 1 3 2 3 2 0 1 1 1 0 2 2 2 3 2 2 1 1 3 3 0 1 2 1 1 2 1 1 2 0 2 0 1 0,17,1,3,34,True
human,FlorenceYeoh,3,1,32,14,0 3 0 3 1 0 3 1 2 0 3 1 3 2 3 2 0 3 1 1 0 2 2 2 3 2 2 1 1 3 3 0 1 2 1 1 2 1 1 2 0 2 0 1 0,6,3,2,35,True
human,FlorenceYeoh,3,1,33,15,0 3 0 3 1 0 2 1 2 0 3 1 3 2 3 2 0 3 1 1 0 2 2 2 3 2 2 1 1 3 3 0 1 2 1 1 2 1 1 2 0 2 0 1 0,8,2,0,36,True
human,FlorenceYeoh,3,1,34,16,0 3 0 3 1 0 2 1 0 0 3 1 3 2 3 2 0 3 1 1 0 2 2 2 3 2 2 1 1 3 3 0 1 2 1 1 2 1 1 2 0 2 0 1 0,20,0,3,37,True
human,FlorenceYeoh,3,1,35,17,0 3 0 3 1 0 2 1 0 0 3 1 3 2 3 2 0 3 1 1 3 2 2 2 3 2 2 1 1 3 3 0 1 2 1 1 2 1 1 2 0 2 0 1 0,29,3,0,38,True
human,FlorenceYeoh,3,1,36,18,0 3 0 3 1 0 2 1 0 0 3 1 3 2 3 2 0 3 1 1 3 2 2 2 3 2 2 1 1 0 3 0 1 2 1 1 2 1 1 2 0 2 0 1 0,16,0,1,39,True
human,FlorenceYeoh,3,1,37,19,0 3 0 3 1 0 2 1 0 0 3 1 3 2 3 2 1 3 1 1 3 2 2 2 3 2 2 1 1 0 3 0 1 2 1 1 2 1 1 2 0 2 0 1 0,7,1,2,40,True
human,FlorenceYeoh,3,1,38,20,0 3 0 3 1 0 2 2 0 0 3 1 3 2 3 2 1 3 1 1 3 2 2 2 3 2 2 1 1 0 3 0 1 2 1 1 2 1 1 2 0 2 0 1 0,36,2,1,41,True
human,FlorenceYeoh,3,1,39,21,0 3 0 3 1 0 2 2 0 0 3 1 3 2 3 2 1 3 1 1 3 2 2 2 3 2 2 1 1 0 3 0 1 2 1 1 1 1 1 2 0 2 0 1 0,34,1,3,42,True
human,FlorenceYeoh,3,1,40,22,0 3 0 3 1 0 2 2 0 0 3 1 3 2 3 2 1 3 1 1 3 2 2 2 3 2 2 1 1 0 3 0 1 2 3 1 1 1 1 2 0 2 0 1 0,43,1,3,43,True
human,FlorenceYeoh,4,1,41,1,0 0 3 3 3 3 0 0 0 0 3 2 2 2 1 1 0 1 3 0 3 1 0 2 1 3 0 1 1 1 2 2 0 3 1 1 0 0 2 2 3 0 0 1 2,41,0,3,45,True
human,FlorenceYeoh,4,1,42,2,0 0 3 3 3 3 0 0 0 0 3 2 2 2 1 1 0 1 3 0 3 1 0 2 1 3 0 1 1 1 2 2 0 3 1 1 0 0 2 2 3 3 0 1 2,39,2,0,46,True
human,FlorenceYeoh,4,1,43,3,0 0 3 3 3 3 0 0 0 0 3 2 2 2 1 1 0 1 3 0 3 1 0 2 1 3 0 1 1 1 2 2 0 3 1 1 0 0 2 0 3 3 0 1 2,9,0,1,47,True
human,FlorenceYeoh,4,1,44,4,0 0 3 3 3 3 0 0 0 1 3 2 2 2 1 1 0 1 3 0 3 1 0 2 1 3 0 1 1 1 2 2 0 3 1 1 0 0 2 0 3 3 0 1 2,9,1,3,48,True
human,FlorenceYeoh,4,1,45,5,0 0 3 3 3 3 0 0 0 3 3 2 2 2 1 1 0 1 3 0 3 1 0 2 1 3 0 1 1 1 2 2 0 3 1 1 0 0 2 0 3 3 0 1 2,40,3,1,49,True
