[Actions]
SessionID,Round,NumRegions,Step,Action,TimeTaken(s)
FLT,P1,10,0,"Game Started (10 regions)",0.0
FLT,P1,10,1,"Colored Region 2 with Color 1",3.3
FLT,P1,10,2,"Colored Region 5 with Color 2",1.9
FLT,P1,10,3,"Colored Region 10 with Color 3",1.9
FLT,P1,10,4,"Colored Region 7 with Color 2",1.8
FLT,P1,10,5,"Colored Region 6 with Color 4",1.6
FLT,P1,10,6,"Colored Region 4 with Color 1",2.9
FLT,P1,10,7,"Colored Region 3 with Color 4",4.9
FLT,P1,10,8,"Colored Region 9 with Color 2",8.5
FLT,P1,10,9,"Colored Region 1 with Color 3",5.9
FLT,P1,10,10,"Colored Region 8 with Color 4",1.5
FLT,P2,10,11,"Game Started (10 regions)",0.0
FLT,P2,10,12,"Colored Region 3 with Color 4",2.3
FLT,P2,10,13,"Colored Region 9 with Color 2",4.5
FLT,P2,10,14,"Colored Region 5 with Color 3",1.4
FLT,P2,10,15,"Colored Region 4 with Color 1",1.8
FLT,P2,10,16,"Colored Region 10 with Color 2",3.2
FLT,P2,10,17,"Colored Region 2 with Color 3",2.1
FLT,P2,10,18,"Colored Region 6 with Color 2",2.8
FLT,P2,10,19,"Colored Region 8 with Color 1",1.7
FLT,P2,10,20,"Colored Region 1 with Color 4",5.3
FLT,P2,10,21,"Colored Region 8 with Eraser",3.8
FLT,P2,10,22,"Colored Region 7 with Color 3",11.5
FLT,P2,10,23,"Colored Region 8 with Color 1",2.2
FLT,1,20,24,"Game Started (20 regions)",0.0
FLT,1,20,25,"Colored Region 10 with Color 1",1.9
FLT,1,20,26,"Colored Region 11 with Color 2",1.2
FLT,1,20,27,"Colored Region 7 with Color 3",1.6
FLT,1,20,28,"Colored Region 5 with Color 4",1.4
FLT,1,20,29,"Colored Region 14 with Color 1",1.5
FLT,1,20,30,"Colored Region 12 with Color 2",3.4
FLT,1,20,31,"Colored Region 18 with Color 4",1.6
FLT,1,20,32,"Colored Region 9 with Color 1",1.8
FLT,1,20,33,"Colored Region 3 with Color 4",3.7
FLT,1,20,34,"Colored Region 3 with Eraser",4.1
FLT,1,20,35,"Colored Region 3 with Color 2",3.6
FLT,1,20,36,"Colored Region 17 with Color 1",3.4
FLT,1,20,37,"Colored Region 1 with Color 4",2.5
FLT,1,20,38,"Colored Region 8 with Color 2",3.4
FLT,1,20,39,"Colored Region 4 with Color 3",1.9
FLT,1,20,40,"Colored Region 2 with Color 1",2.9
FLT,1,20,41,"Colored Region 16 with Color 3",2.9
FLT,1,20,42,"Colored Region 20 with Color 4",2.5
FLT,1,20,43,"Colored Region 13 with Color 2",3.3
FLT,1,20,44,"Colored Region 15 with Color 1",3.8
FLT,1,20,45,"Colored Region 6 with Color 4",3.0
FLT,1,20,46,"Colored Region 19 with Color 1",7.3
FLT,2,23,47,"Game Started (23 regions)",0.0
FLT,2,23,48,"Colored Region 2 with Color 1",2.2
FLT,2,23,49,"Colored Region 17 with Color 2",1.5
FLT,2,23,50,"Colored Region 12 with Color 3",1.4
FLT,2,23,51,"Colored Region 9 with Color 4",1.5
FLT,2,23,52,"Colored Region 22 with Color 1",2.2
FLT,2,23,53,"Colored Region 5 with Color 3",1.7
FLT,2,23,54,"Colored Region 3 with Color 2",2.1
FLT,2,23,55,"Colored Region 19 with Color 1",5.0
FLT,2,23,56,"Colored Region 4 with Color 3",1.6
FLT,2,23,57,"Colored Region 4 with Eraser",2.2
FLT,2,23,58,"Colored Region 4 with Color 1",3.8
FLT,2,23,59,"Colored Region 18 with Color 2",1.6
FLT,2,23,60,"Colored Region 1 with Color 3",1.7
FLT,2,23,61,"Colored Region 21 with Color 4",1.8
FLT,2,23,62,"Colored Region 16 with Color 2",1.9
FLT,2,23,63,"Colored Region 7 with Color 1",1.6
FLT,2,23,64,"Colored Region 8 with Color 2",2.3
FLT,2,23,65,"Colored Region 6 with Color 4",1.9
FLT,2,23,66,"Colored Region 11 with Color 3",2.0
FLT,2,23,67,"Colored Region 14 with Color 1",3.5
FLT,2,23,68,"Colored Region 23 with Color 3",1.8
FLT,2,23,69,"Colored Region 13 with Color 4",3.1
FLT,2,23,70,"Colored Region 15 with Color 2",2.5
FLT,2,23,71,"Colored Region 10 with Color 1",2.9
FLT,2,23,72,"Colored Region 20 with Color 4",2.3
FLT,3,26,73,"Game Started (26 regions)",0.0
FLT,3,26,74,"Colored Region 8 with Color 1",2.2
FLT,3,26,75,"Colored Region 24 with Color 2",4.1
FLT,3,26,76,"Colored Region 25 with Color 3",1.5
FLT,3,26,77,"Colored Region 17 with Color 4",1.7
FLT,3,26,78,"Colored Region 3 with Color 1",1.0
FLT,3,26,79,"Colored Region 7 with Color 2",1.2
FLT,3,26,80,"Colored Region 13 with Color 3",1.4
FLT,3,26,81,"Colored Region 1 with Color 4",1.5
FLT,3,26,82,"Colored Region 20 with Color 3",1.7
FLT,3,26,83,"Colored Region 26 with Color 1",2.1
FLT,3,26,84,"Colored Region 12 with Color 3",2.4
FLT,3,26,85,"Colored Region 9 with Color 1",1.8
FLT,3,26,86,"Colored Region 9 with Eraser",2.5
FLT,3,26,87,"Colored Region 9 with Color 4",1.3
FLT,3,26,88,"Colored Region 15 with Color 4",2.1
FLT,3,26,89,"Colored Region 14 with Color 3",1.9
FLT,3,26,90,"Colored Region 14 with Eraser",1.6
FLT,3,26,91,"Colored Region 14 with Color 1",2.2
FLT,3,26,92,"Colored Region 6 with Color 3",2.0
FLT,3,26,93,"Colored Region 18 with Color 2",2.7
FLT,3,26,94,"Colored Region 11 with Color 2",2.2
FLT,3,26,95,"Colored Region 19 with Color 3",4.3
FLT,3,26,96,"Colored Region 2 with Color 1",2.9
FLT,3,26,97,"Colored Region 22 with Color 2",2.5
FLT,3,26,98,"Colored Region 16 with Color 4",2.2
FLT,3,26,99,"Colored Region 16 with Eraser",2.4
FLT,3,26,100,"Colored Region 5 with Color 2",2.0
FLT,3,26,101,"Colored Region 4 with Color 4",3.5
FLT,3,26,102,"Colored Region 16 with Color 3",1.9
FLT,3,26,103,"Colored Region 23 with Color 1",4.7
FLT,3,26,104,"Colored Region 21 with Color 1",1.7
FLT,3,26,105,"Colored Region 21 with Eraser",2.0
FLT,3,26,106,"Colored Region 10 with Color 3",10.3
FLT,3,26,107,"Colored Region 10 with Eraser",2.1
FLT,3,26,108,"Colored Region 10 with Color 1",3.8
FLT,3,26,109,"Colored Region 14 with Eraser",2.8
FLT,3,26,110,"Colored Region 15 with Eraser",1.7
FLT,3,26,111,"Colored Region 14 with Color 1",4.1
FLT,3,26,112,"Colored Region 5 with Eraser",11.0
FLT,3,26,113,"Colored Region 6 with Eraser",10.8
